ticker_a,ticker_b,correlation,coint_pvalue,hedge_ratio
Asset_062,Asset_077,0.989033781450344,5.0176759513400905e-06,1.2554128115619945
Asset_038,Asset_051,0.977092296451207,0.00010747540214327962,1.2106096820696632
Asset_081,Asset_096,0.9842595374749018,0.00014935044326443357,2.41444293876874
Asset_092,Asset_093,0.937274466559675,0.00023933491564094163,0.5265568447718532
Asset_020,Asset_035,0.9862350805136169,0.00048119646705672167,0.9638230298648708
Asset_002,Asset_046,0.9888553441770498,0.0006027611784248033,1.466177409063576
Asset_031,Asset_041,0.9804155960767931,0.0007329779650940372,1.1447198391348272
Asset_039,Asset_041,0.9564963458910247,0.0008354684477755269,1.2247565913334268
Asset_032,Asset_051,0.9711948185846502,0.0008641197502290412,1.2290160299647217
Asset_010,Asset_088,0.9853276312973447,0.0009373909538684952,0.880508213059946
Asset_018,Asset_081,0.9466131700317082,0.001091900179667999,0.2323285282735701
Asset_048,Asset_092,0.9118368698293599,0.001136806817480871,1.283278310349168
Asset_015,Asset_038,0.9792583739775363,0.0012137015771293573,0.7005186099708733
Asset_031,Asset_035,0.9875897577509972,0.0013585395122189558,1.2650417345111804
Asset_035,Asset_062,0.9855124346392103,0.001366448585440437,0.9594733337528286
Asset_006,Asset_096,0.9675844248229581,0.001504477164185202,1.2121611950526812
Asset_038,Asset_046,0.9845197191987319,0.0015235809743070496,1.0438761905182543
Asset_065,Asset_083,0.8859243799588082,0.001526751475409273,0.5127169501838095
Asset_027,Asset_038,0.9848145433651266,0.00164219577712707,1.3977137535348096
Asset_004,Asset_032,0.9809543271226168,0.0018354720777284494,1.2326828499505678
Asset_018,Asset_019,0.948150354900047,0.0019672387311227414,0.3705420554175728
Asset_006,Asset_081,0.9686533151387412,0.002376290919165217,0.4946893523906422
Asset_032,Asset_038,0.9798711225605256,0.002420837503562364,1.0008099072465944
Asset_036,Asset_041,0.9390737431278283,0.002506190991848264,2.377706723429685
Asset_054,Asset_087,0.9908449885560258,0.0025261697574114994,0.9361197531035924
Asset_025,Asset_062,0.9722728457031197,0.002609200810316128,0.49293962447968825
Asset_036,Asset_046,0.9690515623239476,0.0026213401944869485,2.4482273377109824
Asset_031,Asset_062,0.9823798989355772,0.00280127156646106,1.2251197593031267
Asset_016,Asset_088,0.987271151513002,0.003166209582721992,1.1106591906600038
Asset_020,Asset_037,0.9869566129624098,0.0031937635532322804,0.9404137841810873
Asset_020,Asset_062,0.9804339545781112,0.0031942502121527806,0.93283750137733
Asset_030,Asset_064,0.9743758404900819,0.003251744047471003,0.9140051550653753
Asset_002,Asset_054,0.9917218200194159,0.003613788802981664,1.2613618152459662
Asset_064,Asset_074,0.9731288596179619,0.003916109816552605,0.8141512573563948
Asset_061,Asset_066,0.9718471758751226,0.003960485475888397,1.289412041303374
Asset_002,Asset_087,0.9934280250482244,0.004007623962770388,1.1937459483515553
Asset_051,Asset_066,0.9628994710997422,0.0040202748488404735,0.9063495790720952
Asset_035,Asset_060,0.9846281413403001,0.004030367470573759,0.6663976666210872
Asset_051,Asset_076,0.9689568131981173,0.004069320919695853,1.059164039614595
Asset_073,Asset_076,0.9650358985634103,0.004217235358301732,0.9514285628775442
Asset_035,Asset_039,0.9745706786053175,0.004505873102882809,0.693757343065178
Asset_002,Asset_035,0.9872606268988394,0.0045442379274949945,1.6094540596486173
Asset_017,Asset_071,0.9697861375480977,0.00473879347510754,1.4127622601681498
Asset_051,Asset_088,0.9752550448705021,0.004767087266162394,0.7686634957082705
Asset_039,Asset_052,0.9495598050409033,0.005100568471389631,1.2274733389210666
Asset_018,Asset_062,0.9448659628682339,0.005173452805950412,0.4080115288859207
Asset_071,Asset_089,0.9567830329370257,0.0051742551111002505,0.8975482381156739
Asset_022,Asset_045,0.913923499996143,0.0052145131450031966,1.257383747739775
Asset_018,Asset_031,0.9453629873567918,0.005223539970725949,0.3273420125753453
Asset_035,Asset_037,0.9910850544676292,0.005524243260313583,0.9663067184200391
Asset_041,Asset_052,0.9731398022572669,0.005662816023590513,0.9824229765922706
Asset_051,Asset_087,0.9729590070433316,0.005671100649547075,0.6747957000329818
Asset_024,Asset_087,0.9869255741495621,0.005676111900610329,0.8238751046870948
Asset_018,Asset_035,0.9489727469290236,0.005697222381326947,0.42090605152888727
Asset_046,Asset_087,0.9889564460396288,0.005723392299854466,0.801491479919177
Asset_008,Asset_073,0.9745645971886835,0.0057367323534742816,0.6241598804233216
Asset_027,Asset_032,0.9867162435527885,0.005754285487489308,1.3711135600102957
Asset_002,Asset_036,0.9750573476872274,0.0058792331315291714,0.5722411185078113
Asset_027,Asset_051,0.9747247884967627,0.005962308124498059,1.7140139401839973
Asset_010,Asset_016,0.9975998065512979,0.006024118399100697,0.7924369868366018
Asset_049,Asset_074,0.9658444335785893,0.006122085113653726,0.7346859362010596
Asset_051,Asset_061,0.9739872018959684,0.006133752889071094,0.6909940295678413
Asset_035,Asset_046,0.9799234685386183,0.006241935493429702,0.8912491937657722
Asset_082,Asset_097,0.8538686869326028,0.006573121054975659,0.29896456396062315
Asset_015,Asset_059,0.9320578735215557,0.00733816376426433,1.3772522433905174
Asset_004,Asset_027,0.9903334239907214,0.007367033656595664,0.8955768423330674
Asset_038,Asset_087,0.9880011492192707,0.007560550177449227,0.8489923306626718
Asset_032,Asset_088,0.9683371168244161,0.007690721575980887,0.9658191687605002
Asset_032,Asset_041,0.9656619219409112,0.007716883729525497,1.0480597621168886
Asset_066,Asset_100,0.9661463159173299,0.007881569386011334,0.8621631921725676
Asset_039,Asset_062,0.9754452046206098,0.008116790049029772,1.3340724839930191
Asset_012,Asset_061,0.9827073805533119,0.008855851289567061,0.7587030391798031
Asset_064,Asset_066,0.9590720725996976,0.009240845758388277,0.7722276962836057
Asset_018,Asset_096,0.9417757906501633,0.009300614214362827,0.5670023193450602
Asset_065,Asset_086,0.8211032339103672,0.009311533293961954,0.9037383755815181
Asset_024,Asset_062,0.9788317610276636,0.00938441852605362,1.0792625186021227
Asset_080,Asset_092,0.9117782497862923,0.009511458605410117,1.8977379055473669
Asset_025,Asset_039,0.9526895035080865,0.00963894785632915,0.3531672347431316
